alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
  1.800, 0.2046, 0.00446, 0.00045,-0.0006,0.0150,0.1777,-0.9278, 0.0000, 0.0000, 0.0000, 0.2516
  1.900, 0.2160, 0.00447, 0.00045,-0.0006,0.0144,0.1850,-1.0088, 0.0000, 0.0000, 0.0000, 0.2516
  2.000, 0.2274, 0.00446, 0.00046,-0.0007,0.0141,0.1933,-1.0913, 0.0000, 0.0000, 0.0000, 0.2516
  2.100, 0.2387, 0.00448, 0.00047,-0.0007,0.0125,0.1959,-1.1751, 0.0000, 0.0000, 0.0000, 0.2515
  2.200, 0.2501, 0.00450, 0.00049,-0.0007,0.0110,0.2010,-1.2608, 0.0000, 0.0000, 0.0000, 0.2515
  2.300, 0.2615, 0.00450, 0.00050,-0.0008,0.0096,0.2086,-1.3484, 0.0000, 0.0000, 0.0000, 0.2515
  2.400, 0.2729, 0.00450, 0.00051,-0.0008,0.0092,0.2147,-1.4376, 0.0000, 0.0000, 0.0000, 0.2514
  2.500, 0.2842, 0.00451, 0.00053,-0.0008,0.0090,0.2167,-1.5288, 0.0000, 0.0000, 0.0000, 0.2514
  2.600, 0.2956, 0.00453, 0.00054,-0.0009,0.0084,0.2251,-1.6213, 0.0000, 0.0000, 0.0000, 0.2513
  2.700, 0.3069, 0.00454, 0.00056,-0.0009,0.0072,0.2323,-1.7149, 0.0000, 0.0000, 0.0000, 0.2513
  2.800, 0.3183, 0.00455, 0.00058,-0.0009,0.0067,0.2353,-1.8108, 0.0000, 0.0000, 0.0000, 0.2512
  2.900, 0.3297, 0.00456, 0.00060,-0.0009,0.0062,0.2398,-1.9086, 0.0000, 0.0000, 0.0000, 0.2512
  3.000, 0.3410, 0.00457, 0.00061,-0.0010,0.0057,0.2488,-2.0162, 0.0000, 0.0000, 0.0000, 0.2511
  3.200, 0.3637, 0.00459, 0.00064,-0.0010,0.0051,0.2566,-2.2874, 0.0000, 0.0000, 0.0000, 0.2510
  3.300, 0.3751, 0.00461, 0.00067,-0.0011,0.0049,0.2628,-2.4282, 0.0000, 0.0000, 0.0000, 0.2510
  3.400, 0.3864, 0.00463, 0.00069,-0.0011,0.0044,0.2718,-2.5712, 0.0000, 0.0000, 0.0000, 0.2509
  3.500, 0.3977, 0.00464, 0.00071,-0.0011,0.0040,0.2769,-2.7174, 0.0000, 0.0000, 0.0000, 0.2508
  3.600, 0.4091, 0.00467, 0.00074,-0.0011,0.0037,0.2782,-2.8669, 0.0000, 0.0000, 0.0000, 0.2507
  3.700, 0.4204, 0.00469, 0.00076,-0.0012,0.0034,0.2844,-3.0196, 0.0000, 0.0000, 0.0000, 0.2507
